대륙,국적,성별,D-1(문화예술),D-2(유학),D-3(기술연수),D-4(일반연수),D-5(취재),D-6(종교),D-7(주재),D-8(기업투자),D-9(무역경영),D-10(구직),E-1(교수),E-2(회화강사),E-3(연구),E-4(기술지도),E-5(전문직업),E-6(예술흥행),E-7(특정활동),E-9(비전문취업),E-10(선원취업),F-1(방문동거),F-2(거주),F-3(동반),F-5(영주),F-6(결혼이민),G-1(기타),H-1(관광취업),H-2(방문취업),기타(other)
유럽주,포르투갈,여성,,24,,4,,,,,2,2,3,,,,,,6,,,1,2,9,,4,,12,,1
유럽주,체코,남성,,13,,2,,3,,3,2,1,2,,1,,13,1,5,,,,,,3,7,,1,,3
유럽주,체코,여성,,38,,5,,1,,,,,1,,,,,1,,,,2,2,3,1,10,,6,,3
유럽주,불가리아,남성,,6,,1,,,,3,4,1,3,,2,1,7,3,4,,,2,3,,2,8,,,,2
유럽주,불가리아,여성,,30,,5,,,,1,,1,,,1,,,,2,,,2,8,8,7,7,,,,2
유럽주,리투아니아,남성,,21,,,,1,,1,1,1,,,,,,,3,,,,3,,,1,,,,1
유럽주,리투아니아,여성,,19,,2,,1,,,,2,,,1,,,2,1,,,,1,1,1,8,,,,2
유럽주,크로아티아,남성,,1,,1,,1,,,18,,,,1,,2,4,4,,,,,3,1,5,,,,1
유럽주,크로아티아,여성,,4,,3,,,,,,,1,,,,,,1,,,,3,4,,4,,,,1
유럽주,아르메니아,남성,,,,1,,,,,,,,,6,,,,1,,,2,,1,8,,2,,,3
유럽주,아르메니아,여성,,11,,3,,,,,,1,,,,,,,,,,3,5,8,1,3,,,,1
유럽주,조지아,남성,,2,,,,,,,,,,,,,,,,,,1,2,,,,,,,10
유럽주,조지아,여성,,8,,6,,,,,,,,,,,,,2,,,1,4,,1,2,,,,11
유럽주,슬로바크,남성,,5,,,,,,2,,,2,,,,1,2,2,,,1,,2,1,2,,,,1
유럽주,슬로바크,여성,,8,,3,,1,,,,1,,,,,,1,,,,,3,3,1,3,,,,3
유럽주,세르비아,남성,,6,,1,,,1,1,1,,1,,,,2,7,,,,,,1,1,5,,,,
유럽주,세르비아,여성,,9,,2,,,,,,,1,,1,,,,1,,,,1,1,2,1,,,,
유럽주,영국외지민,남성,,,,2,,,,,,,1,,1,,,,1,,,,2,,,2,,,,1
유럽주,영국외지민,여성,,3,,3,,,,,,1,,,,,,,2,,,1,4,,2,11,,5,,
유럽주,라트비아,남성,,2,,,,,1,1,2,1,1,,,,,,2,,,,,,,1,,,,2
유럽주,라트비아,여성,,5,,1,,,,,,1,2,,1,,,1,1,,,,,1,2,7,,,,5
유럽주,몰도바,남성,,1,,1,,,,,,,,,,,,1,,1,,,1,1,2,1,,,,
유럽주,몰도바,여성,,11,,3,,,,,,1,,,,,,,1,,,4,1,,,9,,,,
유럽주,슬로베니아,남성,,3,,1,,,,5,,,,,,4,1,1,1,,,,1,,1,5,,,,
유럽주,슬로베니아,여성,,7,,1,,,,,,,,,,,,,1,,,,,1,,5,,,,
유럽주,에스토니아,남성,,3,,,,,,1,,,,,,,,1,1,,,,,,,1,,,,1
유럽주,에스토니아,여성,,15,,5,,,,,,,,,,,,,,,,,2,,,1,,,,1
